,idx
268953,36998
268952,97161
268951,18841
268950,55106
268949,266009
268948,94090
268947,63488
268946,197975
268945,156876
268944,12762
268943,91702
268942,38212
268941,228210
268940,146551
268939,260970
268938,99962
268937,129063
268936,28078
268935,153993
268934,149365
268933,64361
268932,188068
268931,58727
268930,74709
268929,93103
268928,147191
268927,99514
268926,210607
268925,97363
268924,270674
268923,160264
268922,40893
268921,270526
268920,28074
268919,68627
268918,111633
268917,198690
268916,247004
268915,261131
268914,52469
268913,244910
268912,125009
268911,70015
268910,162207
268909,77837
268908,2140
268907,67815
268906,177154
268905,22123
268904,153686
268903,263865
268902,234081
268901,194914
268900,118209
268899,98852
268898,159620
268897,25761
268896,247272
268895,238960
268894,20890
268893,12074
268892,251624
268891,46274
268890,51383
268889,153423
268888,100138
268887,229764
268886,26570
268885,137739
268884,66954
268883,236128
268882,86776
268881,73324
268880,16327
268879,8418
268878,204924
268877,170135
268876,14684
268875,60997
268874,157898
268873,80286
268872,72222
268871,253609
268870,255886
268869,265789
268868,108763
268867,202475
268866,176586
268865,140346
268864,173716
268863,234538
268862,145308
268861,47528
268860,27545
268859,209225
268858,188116
268857,141107
268856,212053
268855,114126
268854,62005
268853,207786
268852,125321
268851,185800
268850,252844
268849,70416
268848,107570
268847,53855
268846,248212
268845,178691
268844,187861
268843,220329
268842,229479
268841,40497
268840,70349
268839,97473
268838,208405
268837,182339
268836,106500
268835,216707
268834,235919
268833,177375
268832,31876
268831,255840
268830,152339
268829,188106
268828,40184
268827,268555
268826,224303
268825,169505
268824,6855
268823,148260
268822,266107
268821,265487
268820,254479
268819,135206
268818,257687
268817,166581
268816,170390
268815,216730
268814,98306
268813,65630
268812,155007
268811,120283
268810,194347
268809,162406
268808,43066
268807,188165
268806,240033
268805,268069
268804,192722
268803,202111
268802,117585
268801,85523
268800,35111
268799,145150
268798,227771
268797,262606
268796,24026
268795,116602
